"id","title","parent_id","color","deleted_at","created_at","updated_at"
"71","Gallelio","9","#fe9902",,"28/9/2024 16:58:56","10/10/2024 22:21:58"
"72","ISA/AccelAero","9","#fe9902",,"28/9/2024 16:59:43","11/10/2024 17:54:04"
"73","Zain Cash","10","#fccc1a",,"29/9/2024 13:10:02","30/9/2024 00:50:48"
"74","Qi Card","10","#fccc1a",,"29/9/2024 13:10:17","30/9/2024 00:51:01"
"75","Smart Pay","10","#fccc1a",,"30/9/2024 00:46:09","30/9/2024 00:51:12"
"76","Fast Pay","10","#fccc1a",,"30/9/2024 00:49:28","30/9/2024 00:51:21"
"77","Fast Pay","10","#fefe33","30/9/2024 00:49:44","30/9/2024 00:49:29","30/9/2024 00:49:44"
"78","Zarinpal","10","#fccc1a",,"30/9/2024 00:50:34","30/9/2024 00:50:34"
"79","Nass","10","#fccc1a",,"30/9/2024 00:51:45","30/9/2024 00:51:45"
"80","MellatBank","10","#fccc1a",,"30/9/2024 00:52:09","30/9/2024 00:52:09"
"81","SmartPay","10","#fccc1a",,"30/9/2024 00:52:24","30/9/2024 00:52:24"
"82","DPO","10","#fccc1a",,"30/9/2024 00:52:40","30/9/2024 00:52:40"
"83","ITP","40","#0247fe",,"1/10/2024 12:47:13","5/10/2024 21:19:22"
"84","FIB","10","#b2d732",,"4/10/2024 15:00:26","4/10/2024 15:00:26"
"85","Mobile","8","#8601af",,"5/10/2024 09:57:30","5/10/2024 09:57:30"
"86","test mobile app-10954","85","#8601af",,"5/10/2024 09:57:57","5/10/2024 10:05:52"
"87","Mastercard","10","#fccc1a",,"5/10/2024 17:45:05","5/10/2024 17:45:05"
"88","Notification service","40","#0247fe",,"5/10/2024 21:16:53","5/10/2024 21:23:36"
"89","worldTicket","9","#fe9902",,"10/10/2024 22:22:44","11/10/2024 17:56:59"
"90","Navitaire","9","#fe9902",,"10/10/2024 22:23:00","11/10/2024 17:50:43"
"91","MystiFly","9","#fe9902",,"10/10/2024 22:23:27","10/10/2024 22:23:27"
"92","Supplier (Hotel)","8","#0247fe",,"11/10/2024 17:55:59","11/10/2024 17:56:24"
"93","TBO","92","#0247fe",,"11/10/2024 17:57:17","11/10/2024 17:57:17"
"94","IRIS","92","#0247fe",,"11/10/2024 17:58:27","11/10/2024 17:58:27"
"95","Avtra","9","#fe9902",,"11/10/2024 18:01:35","11/10/2024 18:01:35"
"96","Nira","9","#fe9902",,"11/10/2024 18:03:46","11/10/2024 18:03:46"
"97","FaraNegar","9","#fe9902",,"11/10/2024 18:14:57","11/10/2024 18:14:57"
"98","Report Engine","40","#0247fe",,"12/10/2024 15:39:22","12/10/2024 15:39:22"
"99","Test","8","#0247fe",,"16/10/2024 15:56:32","16/10/2024 15:56:32"
"100","Development of Testing","99","#4424d6",,"16/10/2024 15:57:21","16/10/2024 15:57:21"
"101","Integration of Tests","99","#4424d6",,"16/10/2024 16:01:23","16/10/2024 16:01:23"
"102","UI/UX Principles","8","#fefe33",,"17/10/2024 19:19:25","17/10/2024 19:19:25"
"103","Images/Photos","102","#fe9902",,"17/10/2024 19:19:57","17/10/2024 19:19:57"
"104","Elements","102","#fe9902",,"17/10/2024 19:20:11","17/10/2024 19:20:11"
"105","Release Management ",,"#c21460",,"23/10/2024 00:58:49","23/10/2024 01:29:24"
"106","Release Plans","105","#c21460",,"23/10/2024 00:59:38","23/10/2024 01:29:39"
"107","Release Dates","106","#c21460",,"23/10/2024 01:03:42","23/10/2024 01:29:51"
"108","Overview","34","#fe9902",,"24/10/2024 09:43:41","24/10/2024 09:43:41"
"109","تولید محتوا","44","#fe9902",,"24/10/2024 11:46:01","24/10/2024 11:46:01"
"110","Report Engine","40","#fe9902",,"26/10/2024 12:58:58","26/10/2024 12:58:58"
"111","Pasargad","10","#fccc1a",,"4/11/2024 00:52:01","4/11/2024 00:52:01"
"112","Mobile App Release Checklist","85","#fefe33",,"11/11/2024 08:37:05","11/11/2024 08:37:05"
"113","مدیریت","26","#fefe33",,"2/12/2024 16:30:27","2/12/2024 16:32:16"
"114","کمیته استراتژی","113","#fe9902",,"2/12/2024 16:32:34","2/12/2024 16:32:34"
"115","Sales Channels","8","#fc600a",,"17/12/2024 17:58:04","17/12/2024 17:58:04"
"116","Metasearches","115","#fc600a",,"17/12/2024 17:58:39","17/12/2024 17:58:39"
"117","functionality","66","#fc600a",,"5/1/2025 11:19:30","5/1/2025 11:19:30"
"118"," Marketplace","8","#fe9902",,"5/1/2025 11:20:36","5/1/2025 11:20:36"
"119","functionality","118","#fc600a",,"5/1/2025 11:22:30","5/1/2025 11:22:30"
"120","دپارتمان فنی","26","#fefe33",,"12/1/2025 09:59:01","12/1/2025 10:02:14"
"121","کمیته فنی","120","#fe9902",,"12/1/2025 10:03:03","12/1/2025 10:03:03"
"122","Center of Excellence(CE)","8","#fe9902",,"15/1/2025 11:28:38","15/1/2025 11:28:38"
"123","General ","122","#fefe33",,"26/1/2025 13:30:28","26/1/2025 13:32:48"
"124","Infinite Loopers","122","#fefe33",,"26/1/2025 13:30:54","26/1/2025 13:30:54"
"125","Web Wizards","122","#fe9902",,"26/1/2025 13:31:17","26/1/2025 13:31:17"
"126","Ubuntogether","122","#fefe33",,"26/1/2025 13:31:37","26/1/2025 13:31:37"
"127","Titans","122","#fefe33",,"26/1/2025 13:33:00","26/1/2025 13:33:00"
"128","DevOps","8","#fe2712",,"4/2/2025 11:33:07","4/2/2025 11:33:07"
"129","Infrastructure","128","#fc600a","4/3/2025 15:20:21","4/2/2025 11:48:18","4/3/2025 15:20:21"
"130","Research and Development","128","#fe9902",,"4/2/2025 11:51:40","4/2/2025 11:51:40"
"131","Security","128","#fccc1a","19/2/2025 08:44:26","4/2/2025 11:56:17","19/2/2025 08:44:26"
"132","Instruction Sets","128","#fefe33","4/3/2025 15:26:25","4/2/2025 11:58:29","4/3/2025 15:26:25"
"133","Roadmap","128","#b2d732","4/3/2025 15:18:41","4/2/2025 12:00:03","4/3/2025 15:18:41"
"134","Monthly Reports","128","#fe2712",,"4/2/2025 12:02:31","4/2/2025 12:02:31"
"135","Security","128","#66b032","4/3/2025 15:20:41","19/2/2025 08:45:14","4/3/2025 15:20:41"
"136","RoadMap","128","#fe9902",,"4/3/2025 15:19:19","4/3/2025 15:19:19"
"137","Process Set","128","#fefe33",,"4/3/2025 15:27:37","4/3/2025 15:27:37"
"138","UI&APP","20","#fc600a",,"18/3/2025 10:18:54","18/3/2025 10:18:54"
"139","flight search","9","#fe9902",,"14/4/2025 17:04:56","7/5/2025 08:39:22"
"140","parto ","92","#fe9902",,"16/4/2025 08:41:45","16/4/2025 08:41:45"
"141","Assets","8","#fe2712",,"16/4/2025 08:59:51","16/4/2025 09:07:58"
"142","Airlines","141","#fc600a",,"16/4/2025 09:05:38","16/4/2025 09:05:38"
"143","Hotels","141","#fc600a",,"16/4/2025 09:06:10","16/4/2025 09:06:10"
"144","Airports","141","#fc600a",,"16/4/2025 09:06:37","16/4/2025 09:06:37"
"145","Cities","141","#fe2712",,"16/4/2025 09:07:01","16/4/2025 09:07:01"
"146","Countries","141","#fc600a",,"16/4/2025 09:07:38","16/4/2025 09:07:38"
"147","Hotel Information","92","#fc600a",,"19/4/2025 08:46:52","19/4/2025 08:46:52"
"148","Endpoint ","51","#fc600a",,"21/4/2025 08:49:42","21/4/2025 08:49:42"
"149","ITours","9","#fe9902",,"27/4/2025 15:44:12","7/5/2025 08:39:55"
"150","Flight Service","85","#fc600a",,"28/4/2025 07:15:09","28/4/2025 07:15:09"
"151","hotel Service","85","#fe9902",,"28/4/2025 07:15:51","28/4/2025 07:15:51"
"152","visa Service","85","#fe9902",,"28/4/2025 07:16:13","28/4/2025 07:16:13"
"153","Package Service","85","#fe9902",,"28/4/2025 07:16:56","7/5/2025 08:37:07"
"154","Product","8","#fc600a",,"28/4/2025 09:17:56","28/4/2025 09:17:56"
"155","Loyalty Club ","154","#fe9902",,"28/4/2025 09:18:23","28/4/2025 09:18:23"
"156","Luxota Documentations","8","#fc600a",,"28/4/2025 10:33:31","28/4/2025 10:33:31"
"157","backoffice ","156","#fc600a",,"28/4/2025 10:33:46","28/4/2025 10:33:46"
"158","api-out ","8","#fc600a","30/4/2025 08:37:02","30/4/2025 08:23:18","30/4/2025 08:37:02"
"159","API Response Handling","8","#fe9902",,"30/4/2025 08:45:51","30/4/2025 08:45:51"
"160","api-out","159","#fc600a",,"30/4/2025 08:46:23","30/4/2025 08:46:23"
"161","All  Suppliers","8","#fc600a",,"3/5/2025 11:03:49","3/5/2025 11:03:49"
"162","General","161","#fc600a",,"3/5/2025 11:04:08","3/5/2025 11:04:08"
"163","Kplus","9","#fe9902",,"4/5/2025 13:22:17","7/5/2025 08:40:16"
"164","snaptrip","92","#fe9902",,"4/5/2025 16:49:13","4/5/2025 16:49:13"
"165","passenger form","161","#fc600a",,"6/5/2025 12:01:58","6/5/2025 12:01:58"
"166","Price calculation","8","#fc600a",,"7/5/2025 08:34:04","7/5/2025 08:34:04"
"167","Flight","166","#fe9902",,"7/5/2025 08:34:22","7/5/2025 08:34:22"
"168","Hotel","166","#fe9902",,"7/5/2025 08:34:37","7/5/2025 08:34:37"
"169","Package","166","#fe9902",,"7/5/2025 08:35:23","7/5/2025 08:35:23"
"170","Visa","166","#fe9902",,"7/5/2025 08:35:43","7/5/2025 08:35:43"
"171","TopTravel","9","#fe9902",,"7/5/2025 08:37:34","7/5/2025 08:37:34"
"172","Travelport","9","#fe9902",,"7/5/2025 08:37:57","7/5/2025 08:37:57"
"173","Sepehr","9","#fe9902","7/5/2025 08:38:58","7/5/2025 08:38:12","7/5/2025 08:38:58"
"174","Sepehr","9","#fe9902",,"7/5/2025 08:38:25","7/5/2025 08:40:31"
"175","sepehran","9","#fe9902",,"7/5/2025 08:40:49","7/5/2025 08:40:49"
"176","Local","9","#fe9902",,"7/5/2025 08:42:15","7/5/2025 08:42:15"
"177","Parto","9","#fe9902",,"7/5/2025 08:43:15","7/5/2025 08:43:15"
"178","Quantum","9","#fe9902",,"7/5/2025 08:43:44","7/5/2025 08:43:44"
"179","Sabre","9","#fe9902",,"7/5/2025 08:44:04","7/5/2025 08:44:04"
"180","FlyErbil","9","#fe9902",,"7/5/2025 08:45:04","7/5/2025 08:45:04"
"181","FlyAdeal","9","#fe9902",,"7/5/2025 08:45:34","7/5/2025 08:45:34"
"182","Faranegar","9","#fe9902",,"7/5/2025 08:45:49","7/5/2025 08:45:49"
"183","CloudFares","9","#fe9902",,"7/5/2025 08:46:24","7/5/2025 08:46:24"
"184","CityNet","9","#fe9902",,"7/5/2025 08:46:51","7/5/2025 08:46:51"
"185","BasisFly","9","#fe9902",,"7/5/2025 08:47:08","7/5/2025 08:47:08"
"186","Amadeus","9","#fe9902",,"7/5/2025 08:47:50","7/5/2025 08:47:50"
"187","Accelaero","9","#fe9902","7/5/2025 08:48:53","7/5/2025 08:48:17","7/5/2025 08:48:53"
"188","flight","118","#fc600a",,"7/5/2025 09:37:37","7/5/2025 09:37:37"
"189","Notification","8","#fefe33",,"8/5/2025 11:37:16","8/5/2025 11:37:16"
"190","events","189","#fefe33",,"8/5/2025 11:37:29","8/5/2025 11:37:29"
"191","All","85","#fc600a",,"1/6/2025 12:01:33","1/6/2025 12:01:33"
"192","Sepehr","92","#fe9902",,"1/6/2025 12:23:08","1/6/2025 12:23:08"
"193","Grs","92","#fc600a",,"1/6/2025 13:18:54","1/6/2025 13:18:54"
"194","Search process changes","40","#fe9902",,"3/6/2025 08:45:29","3/6/2025 08:45:29"
"195","Node Handling","156","#fccc1a",,"10/6/2025 11:19:51","10/6/2025 11:19:51"
"196","search progress","156","#fc600a",,"12/7/2025 08:48:54","12/7/2025 08:48:54"
