"id","product_id","price","zone_id","created_at","updated_at"
"2201","17","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2202","17","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2203","17","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2204","18","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2205","18","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2206","18","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2207","18","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2208","19","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2209","19","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2210","19","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2211","19","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2212","20","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2213","20","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2214","20","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2215","20","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2216","21","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2217","21","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2218","21","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2219","21","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2220","23","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2221","23","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2222","23","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2223","23","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2224","24","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2225","24","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2226","24","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2227","24","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2228","25","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2229","25","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2230","25","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2231","25","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2232","26","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2233","26","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2234","26","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2235","26","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2236","42","30.3","1","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2237","42","15.15","3","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2238","42","10","2","14/11/2024 12:14:29","14/11/2024 12:14:29"
"2239","42","30.3","4","14/11/2024 12:14:29","14/11/2024 12:14:29"
